,code1,code2,code3,code4,Shire,Suburb,Aboriginal.and.or.Torres.Strait.Islander,Non.Indigenous,Total.ERP
216,,NA,NA,1392,,Canterbury (North) - Ashbury,134,9776,9910
217,,NA,NA,1393,,Croydon Park - Enfield,104,17046,17150
218,,NA,NA,1394,,Dulwich Hill - Lewisham,272,16516,16788
219,,NA,NA,1395,,Haberfield - Summer Hill,80,13886,13966
220,,NA,NA,1396,,Homebush,44,13207,13251
221,,NA,NA,1397,,Strathfield,67,27438,27505
228,,NA,NA,1398,,Chatswood (East) - Artarmon,40,25616,25656
229,,NA,NA,1399,,Chatswood (West) - Lane Cove North,77,19141,19218
230,,NA,NA,1400,,Lane Cove - Greenwich,56,25363,25419
231,,NA,NA,1401,,St Leonards - Naremburn,28,9779,9807
232,,NA,NA,1402,,Willoughby - Castle Cove - Northbridge,55,25630,25685
236,,NA,NA,1403,,Asquith - Mount Colah,99,18362,18461
237,,NA,NA,1404,,Berowra - Brooklyn - Cowan,81,11747,11828
238,,NA,NA,1405,,Hornsby - Waitara,155,30662,30817
239,,NA,NA,1406,,Normanhurst - Thornleigh - Westleigh,72,18656,18728
243,,NA,NA,1407,,Gordon - Killara,27,19635,19662
244,,NA,NA,1408,,Lindfield - Roseville,23,22142,22165
245,,NA,NA,1409,,Pymble,27,16433,16460
246,,NA,NA,1410,,St Ives,34,19681,19715
247,,NA,NA,1411,,Turramurra,31,18746,18777
248,,NA,NA,1412,,Wahroonga - Warrawee,41,18082,18123
252,,NA,NA,1413,,Cremorne - Cammeray,35,19248,19283
253,,NA,NA,1414,,Crows Nest - Waverton,59,17695,17754
254,,NA,NA,1415,,Mosman,39,29312,29351
255,,NA,NA,1416,,Neutral Bay - Kirribilli,50,17946,17996
256,,NA,NA,1417,,North Sydney - Lavender Bay,28,10221,10249
263,,NA,NA,1418,,Balgowlah - Clontarf - Seaforth,68,20241,20309
264,,NA,NA,1419,,Manly - Fairlight,78,22431,22509
268,,NA,NA,1420,,Avalon - Palm Beach,53,12949,13002
269,,NA,NA,1421,,Bayview - Elanora Heights,59,10748,10807
270,,NA,NA,1422,,Newport - Bilgola,57,13641,13698
271,,NA,NA,1423,,Warriewood - Mona Vale,140,22808,22948
275,,NA,NA,1424,,Beacon Hill - Narraweena,107,13546,13653
276,,NA,NA,1425,,Cromer,44,7481,7525
277,,NA,NA,1426,,Dee Why - North Curl Curl,118,24009,24127
278,,NA,NA,1427,,Forestville - Killarney Heights,34,12834,12868
279,,NA,NA,1428,,Frenchs Forest - Belrose,79,25327,25406
280,,NA,NA,1429,,Freshwater - Brookvale,125,20405,20530
281,,NA,NA,1430,,Manly Vale - Allambie Heights,86,16591,16677
282,,NA,NA,1431,,Narrabeen - Collaroy,125,23813,23938
283,,NA,NA,1432,,Terrey Hills - Duffys Forest,12,3687,3699
290,,NA,NA,1433,,Camden - Ellis Lane,220,12311,12531
291,,NA,NA,1434,,Elderslie - Harrington Park,377,16242,16619
292,,NA,NA,1435,,Mount Annan - Currans Hill,650,23984,24634
296,,NA,NA,1436,,Bradbury - Wedderburn,1221,18574,19795
297,,NA,NA,1437,,Campbelltown - Woodbine,539,15702,16241
298,,NA,NA,1438,,Claymore - Eagle Vale - Raby,841,20939,21780
299,,NA,NA,1439,,Holsworthy Military Area,.,.,.
300,,NA,NA,1440,,Ingleburn - Denham Court,361,16901,17262
301,,NA,NA,1441,,Leumeah - Minto Heights,597,15921,16518
302,,NA,NA,1442,,Macquarie Fields - Glenfield,773,20918,21691
303,,NA,NA,1443,,Minto - St Andrews,683,17514,18197
304,,NA,NA,1444,,Rosemeadow - Glen Alpine,776,20161,20937
308,,NA,NA,1445,,Bargo,170,5394,5564
309,,NA,NA,1446,,Douglas Park - Appin,137,7194,7331
310,,NA,NA,1447,,Picton - Tahmoor - Buxton,595,15223,15818
311,,NA,NA,1448,,The Oaks - Oakdale,170,8663,8833
318,,NA,NA,1449,,Blackheath - Megalong Valley,123,5515,5638
319,,NA,NA,1450,,Blaxland - Warrimoo - Lapstone,275,18835,19110
320,,NA,NA,1451,,Blue Mountains - North,0,27,27
321,,NA,NA,1452,,Katoomba - Leura,362,13089,13451
322,,NA,NA,1453,,Lawson - Hazelbrook - Linden,337,11043,11380
323,,NA,NA,1454,,Springwood - Winmalee,423,22108,22531
324,,NA,NA,1455,,Wentworth Falls,94,6071,6165
328,,NA,NA,1456,,Blue Mountains - South,0,7,7
332,,NA,NA,1457,,Cambridge Park,709,14869,15578
333,,NA,NA,1458,,Castlereagh - Cranebrook,765,17221,17986
334,,NA,NA,1459,,Emu Plains - Leonay,432,13905,14337
335,,NA,NA,1460,,Glenmore Park - Regentville,390,21193,21583
336,,NA,NA,1461,,Jamisontown - South Penrith,522,16916,17438
337,,NA,NA,1462,,Kingswood - Werrington,654,17043,17697
338,,NA,NA,1463,,Mulgoa - Luddenham - Orchard Hills,130,6650,6780
339,,NA,NA,1464,,Penrith,582,11650,12232
340,,NA,NA,1465,,Warragamba - Silverdale,143,5063,5206
344,,NA,NA,1466,,Richmond - Clarendon,449,13426,13875
345,,NA,NA,1467,,Windsor - Bligh Park,796,15182,15978
346,,NA,NA,1468,,Yarramundi - Londonderry,374,6716,7090
350,,NA,NA,1469,,Erskine Park,135,6761,6896
351,,NA,NA,1470,,St Clair,600,19932,20532
352,,NA,NA,1471,,St Marys - Colyton,1280,25200,26480
359,,NA,NA,1472,,Auburn,97,34936,35033
360,,NA,NA,1473,,Homebush Bay - Silverwater,312,11553,11865
361,,NA,NA,1474,,Lidcombe - Regents Park,156,31440,31596
362,,NA,NA,1475,,Rookwood Cemetery,0,7,7
366,,NA,NA,1476,,Carlingford,82,25701,25783
367,,NA,NA,1477,,Ermington - Rydalmere,228,19653,19881
368,,NA,NA,1478,,Oatlands - Dundas Valley,172,16322,16494
372,,NA,NA,1479,,Chester Hill - Sefton,146,17156,17302
373,,NA,NA,1480,,Fairfield - East,126,14781,14907
374,,NA,NA,1481,,Granville - Clyde,154,19140,19294
375,,NA,NA,1482,,Greystanes - Pemulwuy,210,24299,24509
376,,NA,NA,1483,,Guildford - South Granville,248,18896,19144
377,,NA,NA,1484,,Guildford West - Merrylands West,199,19623,19822
378,,NA,NA,1485,,Merrylands - Holroyd,286,26922,27208
379,,NA,NA,1486,,Smithfield Industrial,0,23,23
380,,NA,NA,1487,,Yennora Industrial,0,15,15
384,,NA,NA,1488,,Girraween - Westmead,232,26934,27166
385,,NA,NA,1489,,North Parramatta,315,20919,21234
386,,NA,NA,1490,,North Rocks,26,7990,8016
387,,NA,NA,1491,,Northmead,136,18005,18141
388,,NA,NA,1492,,Parramatta - Rosehill,168,23971,24139
389,,NA,NA,1493,,Toongabbie - Constitution Hill,359,21173,21532
390,,NA,NA,1494,,Winston Hills,54,10720,10774
397,,NA,NA,1495,,Epping - North Epping,56,24632,24688
398,,NA,NA,1496,,Pennant Hills - Cheltenham,75,20186,20261
402,,NA,NA,1497,,Eastwood - Denistone,93,24224,24317
403,,NA,NA,1498,,Gladesville - Huntleys Point,54,14068,14122
404,,NA,NA,1499,,Hunters Hill - Woolwich,62,10244,10306
405,,NA,NA,1500,,Macquarie Park - Marsfield,65,19536,19601
406,,NA,NA,1501,,North Ryde - East Ryde,47,12470,12517
407,,NA,NA,1502,,Ryde - Putney,108,27453,27561
408,,NA,NA,1503,,West Ryde - Meadowbank,69,17908,17977
415,,NA,NA,1504,,Ashcroft - Busby - Miller,850,16317,17167
416,,NA,NA,1505,,Badgerys Creek - Greendale,181,10043,10224
417,,NA,NA,1506,,Cobbitty - Leppington,103,6538,6641
