ABN	Latitude	Longitude	Aged_Care_Activities	Aged_Persons	Aboriginal_or_TSI	People_at_risk_of_homelessness	Charity_Name
12000964081	-33.68666476099963	151.21672362400056					Kinma Limited
12001444837	-30.6434921219996	152.99908292800058			Y		Nambucca Heads Pre-School Playcentre Ltd
12002063229	-33.62056674099961	150.27432084100064		Y	Y		Vipassana Meditation Centre Limited
12002725895	-33.40004541999963	151.33507943000063			Y	Y	Gosford City Community & Information Service Ltd
12002885412	-33.63045590899958	150.27869621300056					Blue Mountains Christian Education Association Limited
12002892766	-33.8927513739996	151.18721183700063					The Healing Ministry Centre Golden Grove Ltd
12003806371	-33.722433647999594	150.30727770400063			Y		The Eleanor Dark Foundation Limited
12023587840	-32.6715766949996	152.17716002300062		Y	Y		Tea Gardens Hawks Nest Pre School Kindergarten Incorporated
12023650124	-32.72772936199959	152.08794936300058	Y	Y	Y	Y	Tomaree Neighbourhood Centre Inc
12026621733	-34.301022158999615	146.03419344100064		Y	Y		Lifesource Church Incorporated
12032166479	-34.42684446199962	150.8929929160006		Y	Y		Project Contemporary Artspace Inc
12032211683	-28.863468551999574	153.04584944100054					Catholic Parish Of St Marys Casino - St Marys Primary School
12038516658	-31.866277673999605	152.69352459400056					Harrington-Crowdy Head RSL sub-Branch (RSL NSW)
12038736601	-36.048299205999626	146.95199979600056					Life Love & Health Inc
12039919811	-33.8657998259996	151.21010919800062					Church Property Trust - Lord Howe Island - Ivy Green
12049903261	-33.87281117499958	151.23537485800057					Critical Path Incorporated
12053879016	-33.990493842999626	151.13305240100055					St Andrews Anglican Church Sans Souci
12059639293	-32.924802347999616	151.74293513800058		Y			The Anglican Parish Of Hamilton
12060244093	-33.76833380299962	150.70385749500053					Northside Grace Church
12060568633	-32.05016253999963	150.86371328800055					Scone Public School P&C Association Canteen
12064068530	-33.794393198999614	151.07852403300058		Y			St Philip's Anglican Church Eastwood
12068072068	-33.869599972999595	151.20695930500062					The Trustee For Sister M Winning
12075357818	-33.36972934199963	151.3341225320006					Satyananda Yoga Academy Limited
12079392083	-30.95293338799962	148.38857828800064		Y	Y	Y	Coonamble Parent Support Host Family Respite Care Inc
12088941913	-33.946138821999625	151.12790674900054					St Mary And St Mina's Coptic Orthodox College
12088948954	-33.62306260899959	150.80405004300064					Presbyterian Church Of Aust In The State Of NSW Parish Of Hawkesbury
12094118121	-34.25400703099962	146.19504561300062					Yenda Preschool Kindergarten Inc
12096998135	-32.961884382999585	151.6947775380006					C3 Church Victory Incorporated
12099399623	-33.746545424999624	151.06395244000055					Arden Parents & Friends Association
12101552025	-28.387258407999582	153.38801019500056					Friends Of The Hound Inc 
12102982409	-33.77394301199962	150.94422966300056					Every Nation Ministries And Churches
12105209704	-33.869599972999595	151.20695930500062					El Brown Estate
12108477023	-33.87660041299961	151.15820717000054					Kaldor Public Art Projects
12114218588	-31.98533703199962	141.45378145500058					Rainbow Preschool Assn Broken Hill Inc
12114945440	-33.88466973499959	148.60191958200062		Y			Uca - Uniting Church Cowra Congregation 
12115954197	-33.88466973499959	148.60191958200062		Y	Y		Black Dog Institute
12121673726	-34.42807633899963	147.52065801400056					Temora Aviation Museum Incorporated
12122572696	-34.42807633899963	147.52065801400056			Y		Childs Vision Pty Ltd
12126757939	-35.85111849599963	150.16500898700065					The Roman Catholic Church For The Archdiocese Of Canberra And Goulburn As Trustee For Carroll College
12129228413	-33.8769395479996	151.21222225000054			Y		Public Education Foundation Ltd
12140233910	-33.737459039999635	150.64995020600054					Emu Heights Public School P&C Assn
12144699774	-33.8387201209996	151.20614477500055					The Trustee For The R E Walker Scholarship Fund
12144851126	-36.08320708999963	146.9186766630006			Y	Y	The Trustee For Rotary Club Of Albury Foundation
12147584930	-33.83011675099959	151.00562997100064					Voice To The Nations Incorporated
12147595929	-33.793602782999585	151.0821840710006					World Day Of Prayer Australia New South Wales Committee
12151675133	-32.93200341199963	151.7764998510006	Y	Y			Arts Health Institute Ltd
12163845539	-34.893143340999586	150.60446701700062					4 Paws Rescue NSW Incorporated
12177965157	-28.803342752999583	153.28235523500064		Y	Y	Y	Lismore And District Financial Counselling Service Incoporated
12179262653	-33.869599972999595	151.20695930500062					The Trustee For The Mary Thomson Memorial Scholarship Trust
12187447023	-33.869599972999595	151.20695930500062					The Trustee For Samuel Laurie & Eileen Fanny Gluyas Trust
12196577256	-33.8657998259996	151.21010919800062					Church Property Trust - St Michaels Sydney Ordinance 1994
12197380085	-33.87558306399961	151.2259715410006					Catholic Parish St Canice Elizabeth Bay
12212586792	-33.91384328699962	151.1221075470006					Strathfield Musical Society Incorporated
12216082353	-34.02168493899961	150.7988572010006					H.E.L.P.Australia Incorporated
12217831154	-33.864123164999626	151.20466103300055					Credit Union Foundation Australia
12217916846	-28.8622557369996	153.55844929100056	Y	Y	Y	Y	Ballina Salt & Light Incorporated
12219031757	-33.708913568999606	150.88596754600064					CCCAust(NSW)
12219799745	-34.87747195399959	150.58828952200054	Y	Y	Y		Uca - Nowra
12231911422	-33.886900958999604	151.19807327000058					Planet X Housing Co-Operative Ltd
12236987800	-33.89254716899961	151.2643714680006					Bondi Public School P&C Association
12239671805	-33.803919278999615	150.95496986200055		Y		Y	Church Of Christ Pendle Hill
12241084736	-33.817936137999595	151.09220489100062		Y			Ermington Gospel Trust
12248231426	-31.64394118399963	152.79419176300064					Catholic Parish Of St Peter The Fisherman Camden Haven
12259373516	-33.82912095299963	151.19021136300057		Y			Saint Giles Anglican Church Greenwich
12268060723	-33.3930567259996	151.47732545300062					Central Coast Kids In Need Inc
12273513178	-30.287242326999603	153.11605508500054					Supporting Schools In Kenya Incorporated
12286724219	-33.926944254999626	151.0562969180006		Y	Y		Christian Women Communicating Intl In Aust 
12289335800	-34.22762136299963	150.59129529800055		Y	Y	Y	Community Links Wollondilly Incorporated
12291757316	-33.942894035999586	151.23472881000055					Shri Ram Chandra Mission Incorporated
12311801338	-33.1391395809996	148.17386931200053					Currajong Disability Services Inc
12319917371	-32.738039173999596	151.53311946300062					The Trustee For The Valasi Bleazard Memorial Scholarship 
12323890766	-32.738039173999596	151.53311946300062					Ulmarra Rsl Sub-Branch
12327190113	-33.13253264299959	151.61622476600064					Nords Wharf P & C Association Incorporated
12338534012	-31.083209365999608	152.87463979700055					Macleay Valley Coast Diabetes Group Incorporated
12340717550	-33.86958951599962	151.06828930100062					Ukrainian Authocephalic Orthodox Church In Australia And New Zealand
12353562686	-33.869599972999595	151.20695930500062					Ac Macbean Estate
12357811650	-33.847972804999586	151.21378681900057					St Aloysius College Community
12362764977	-33.765134408999586	150.77424716800056					Members Church Of God International (New South Wales) Inc
12383017127	-33.859756974999584	151.04397481300055					Karen Youth Organisation-Australia Inc
12387503221	-33.82965413599959	151.1308945240006	Y	Y	Y		Motor Neurone Disease Association Of NSW Inc
12393818704	-33.60935820399959	151.0187196240006					Glenorie Community Church Inc 
12400989757	-33.88192249399958	151.10276788000056			Y	Y	St Pauls Burwood Parish
12405028736	-33.799127373999625	151.27413153900056					Tristan Knowles Kids Cancer Foundation
